2024/05/25 21:48:38 [error] 34219#34219: *93 client intended to send too large chunked body: 1048576+32768 bytes, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "PATCH /v2/gbwebdev/gohugo/blobs/uploads/73157515-a4ff-4934-8774-9652e9f3fbd6?_state=UpH-lSSsbyHwO28WXnv5N4sRF_eEP2RHd1UwJPVUiuV7Ik5hbWUiOiJnYndlYmRldi9nb2h1Z28iLCJVVUlEIjoiNzMxNTc1MTUtYTRmZi00OTM0LTg3NzQtOTY1MmU5ZjNmYmQ2IiwiT2Zmc2V0IjowLCJTdGFydGVkQXQiOiIyMDI0LTA1LTI1VDE5OjQ4OjM4LjI2NzI2Mjk1MVoifQ%3D%3D HTTP/1.1", host: "docker-registry.home.gbweb.fr"
2024/05/25 21:48:38 [error] 34219#34219: *91 client intended to send too large chunked body: 1048576+32768 bytes, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "PATCH /v2/gbwebdev/gohugo/blobs/uploads/d04347fb-4db8-436c-a6c6-f71c94ef4c4a?_state=Hum5GSneePYAp_NbI6iaYkiwZ9wFYqC6J1-o6SZcjPl7Ik5hbWUiOiJnYndlYmRldi9nb2h1Z28iLCJVVUlEIjoiZDA0MzQ3ZmItNGRiOC00MzZjLWE2YzYtZjcxYzk0ZWY0YzRhIiwiT2Zmc2V0IjowLCJTdGFydGVkQXQiOiIyMDI0LTA1LTI1VDE5OjQ4OjM4LjI2OTk3Njg2MloifQ%3D%3D HTTP/1.1", host: "docker-registry.home.gbweb.fr"
2024/05/25 21:48:38 [error] 34222#34222: *90 client intended to send too large chunked body: 1048576+32768 bytes, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "PATCH /v2/gbwebdev/gohugo/blobs/uploads/bc46d8ed-b20d-4e67-8bd0-02e248b4d272?_state=6s9uJga83R4ZEJqQPjaZPUrbnAv3XqoZV0Dweg40Br57Ik5hbWUiOiJnYndlYmRldi9nb2h1Z28iLCJVVUlEIjoiYmM0NmQ4ZWQtYjIwZC00ZTY3LThiZDAtMDJlMjQ4YjRkMjcyIiwiT2Zmc2V0IjowLCJTdGFydGVkQXQiOiIyMDI0LTA1LTI1VDE5OjQ4OjM4LjI2OTk3Njg2NVoifQ%3D%3D HTTP/1.1", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *751 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "GET /v2/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *756 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:d46a03def8d9bd846f37fee0edc9fcb7400d68166e99f039cd87b99948af6005 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:d46a03def8d9bd846f37fee0edc9fcb7400d68166e99f039cd87b99948af6005", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1428#1428: *754 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:4429b810e09ef699c3034e49b60f85add3610968983af403fb3181255a5b639f HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:4429b810e09ef699c3034e49b60f85add3610968983af403fb3181255a5b639f", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1428#1428: *757 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:a9d0d7aea9d1b6387306813d86e2a43636b6c485432f7eb0776dd1cf439cac3e HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:a9d0d7aea9d1b6387306813d86e2a43636b6c485432f7eb0776dd1cf439cac3e", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1430#1430: *755 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:2a4ca5af09fa6cc704c04ba61e304cbf3d0fb2c55f52bf8c8dcba14651216c17 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:2a4ca5af09fa6cc704c04ba61e304cbf3d0fb2c55f52bf8c8dcba14651216c17", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *753 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:bd77b861aa7ba6071a3efb2c5e58ccb67ba8467ce3cea077ae1f050bc3522158 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:bd77b861aa7ba6071a3efb2c5e58ccb67ba8467ce3cea077ae1f050bc3522158", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1428#1428: *763 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *766 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1429#1429: *767 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *765 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:29 [error] 1432#1432: *764 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1429#1429: *777 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *774 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *776 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *775 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *780 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1432#1432: *785 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *786 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *787 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1428#1428: *788 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *792 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1428#1428: *801 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1432#1432: *800 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1429#1429: *799 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1428#1428: *798 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
